type,rd_percentage,pause,bandwidth_bytes_per_second,latency_core_ptr_chase,latency_mem_ptr_chase
DDR4-1.3333333,30,10000,1815508245.8770616,76.96925323801837,43.33333333333333
DDR4-1.3333333,40,0,104873038680.65967,205.7590618336887,165.7142857142857
DDR4-1.3333333,40,5,101584772413.7931,171.87576530612245,132.38095238095238
DDR4-1.3333333,40,10,98038519940.02998,152.11761148904006,118.09523809523809
DDR4-1.3333333,40,15,87811358320.83958,128.84392247465024,98.09523809523809
DDR4-1.3333333,40,20,82344280659.67018,119.99826948323188,84.76190476190476
DDR4-1.3333333,40,25,77967784107.94601,113.86649659863944,79.52380952380952
DDR4-1.3333333,40,30,75992352623.68816,112.03791680606668,80.0
DDR4-1.3333333,40,35,73639580209.89507,109.25545578231292,72.38095238095238
DDR4-1.3333333,40,40,66109687556.2219,102.52662267914684,68.09523809523809
DDR4-1.3333333,40,45,61015249175.41229,98.48671267067978,66.19047619047619
DDR4-1.3333333,40,50,59650629085.45727,98.79069308882973,64.76190476190476
DDR4-1.3333333,40,55,58282449175.41229,97.6485908649174,65.23809523809524
DDR4-1.3333333,40,60,56935762518.74063,97.39990281827016,66.19047619047619
DDR4-1.3333333,40,65,55092850374.8126,96.35139407875826,63.80952380952381
DDR4-1.3333333,40,70,53366001799.10045,95.63921792493221,60.476190476190474
DDR4-1.3333333,40,80,50151014092.95353,94.40605207600281,59.52380952380952
DDR4-1.3333333,40,90,45927522638.680664,92.9914850293859,59.047619047619044
DDR4-1.3333333,40,100,35065839880.05997,89.88041532402434,56.666666666666664
DDR4-1.3333333,40,120,31404128335.832085,89.03201280512205,56.666666666666664
DDR4-1.3333333,40,140,29580224287.85607,89.171935440843,56.666666666666664
DDR4-1.3333333,40,160,27589277361.31934,88.60972700768619,54.285714285714285
DDR4-1.3333333,40,180,25626808995.50225,88.17893350888743,54.76190476190476
DDR4-1.3333333,40,200,24252315442.278862,88.02014483212639,52.857142857142854
DDR4-1.3333333,40,220,23363233583.208397,88.34565774361693,54.285714285714285
DDR4-1.3333333,40,260,21267238380.809597,87.33978719693006,51.904761904761905
DDR4-1.3333333,40,300,19505328935.532234,87.53388278388277,54.285714285714285
DDR4-1.3333333,40,340,18371962818.590702,86.83547814030071,53.33333333333333
DDR4-1.3333333,40,380,17167870464.767616,86.71250920750465,54.285714285714285
DDR4-1.3333333,40,450,15266187706.146929,86.41242572978558,52.38095238095238
DDR4-1.3333333,40,550,13410110944.527737,85.48924319727891,50.95238095238095
DDR4-1.3333333,40,600,12695325937.031485,85.12478741496598,50.476190476190474
DDR4-1.3333333,40,700,11400693253.373314,84.87995943719102,50.476190476190474
DDR4-1.3333333,40,800,10335098050.974514,84.61439979718595,51.42857142857142
DDR4-1.3333333,40,900,9398731034.482758,84.58794946550049,51.904761904761905
DDR4-1.3333333,40,1000,8714775412.293854,83.75293184758566,51.42857142857142
DDR4-1.3333333,40,2000,5087654572.713643,82.30657323170232,47.61904761904762
